image,condition,label
1.jpg,0,fake
10.jpg,0,fake
100.jpg,0,fake
101.jpg,0,fake
102.jpg,1,real
103.jpg,0,fake
104.jpg,0,fake
105.jpg,1,real
106.jpg,0,fake
107.jpg,0,fake
108.jpg,1,real
109.jpg,0,fake
11.jpg,0,fake
110.jpg,0,fake
111.jpg,0,fake
112.jpg,0,fake
113.jpg,1,real
114.jpg,1,real
115.jpg,0,fake
116.jpg,0,fake
117.jpg,1,real
118.jpg,1,real
119.jpg,1,real
12.jpg,1,real
120.jpg,1,real
121.jpg,0,fake
122.jpg,0,fake
123.jpg,0,fake
124.jpg,0,fake
125.jpg,1,real
126.jpg,1,real
127.jpg,0,fake
128.jpg,0,fake
129.jpg,0,fake
13.jpg,0,fake
130.jpg,1,real
131.jpg,1,real
132.jpg,1,real
133.jpg,0,fake
134.jpg,0,fake
135.jpg,0,fake
136.jpg,0,fake
137.jpg,0,fake
138.jpg,0,fake
139.jpg,1,real
14.jpg,0,fake
140.jpg,1,real
141.jpg,0,fake
142.jpg,1,real
143.jpg,1,real
144.jpg,0,fake
145.jpg,1,real
146.jpg,0,fake
147.jpg,0,fake
148.jpg,1,real
149.jpg,1,real
15.jpg,0,fake
150.jpg,1,real
151.jpg,0,fake
152.jpg,0,fake
153.jpg,1,real
154.jpg,0,fake
155.jpg,0,fake
156.jpg,0,fake
157.jpg,1,real
158.jpg,1,real
159.jpg,1,real
16.jpg,1,real
160.jpg,0,fake
161.jpg,1,real
162.jpg,0,fake
163.jpg,0,fake
164.jpg,0,fake
165.jpg,0,fake
166.jpg,1,real
167.jpg,0,fake
168.jpg,0,fake
169.jpg,0,fake
17.jpg,1,real
170.jpg,0,fake
171.jpg,0,fake
172.jpg,1,real
173.jpg,0,fake
174.jpg,1,real
175.jpg,0,fake
176.jpg,1,real
177.jpg,1,real
178.jpg,0,fake
179.jpg,1,real
18.jpg,0,fake
180.jpg,0,fake
181.jpg,1,real
182.jpg,0,fake
183.jpg,0,fake
184.jpg,1,real
185.jpg,1,real
186.jpg,1,real
187.jpg,1,real
188.jpg,0,fake
189.jpg,1,real
19.jpg,0,fake
190.jpg,0,fake
191.jpg,0,fake
192.jpg,1,real
193.jpg,0,fake
194.jpg,1,real
195.jpg,0,fake
196.jpg,1,real
197.jpg,1,real
198.jpg,1,real
199.jpg,1,real
2.jpg,1,real
20.jpg,0,fake
200.jpg,0,fake
201.jpg,1,real
202.jpg,1,real
203.jpg,0,fake
204.jpg,1,real
205.jpg,0,fake
206.jpg,1,real
207.jpg,1,real
208.jpg,1,real
209.jpg,0,fake
21.jpg,1,real
210.jpg,1,real
211.jpg,0,fake
212.jpg,0,fake
213.jpg,0,fake
214.jpg,1,real
215.jpg,1,real
216.jpg,0,fake
217.jpg,1,real
218.jpg,0,fake
219.jpg,1,real
22.jpg,1,real
220.jpg,1,real
221.jpg,1,real
222.jpg,1,real
223.jpg,1,real
224.jpg,1,real
225.jpg,0,fake
226.jpg,0,fake
227.jpg,0,fake
228.jpg,1,real
229.jpg,1,real
23.jpg,1,real
230.jpg,1,real
231.jpg,0,fake
232.jpg,1,real
233.jpg,1,real
234.jpg,1,real
235.jpg,1,real
236.jpg,1,real
237.jpg,0,fake
238.jpg,1,real
239.jpg,0,fake
24.jpg,1,real
240.jpg,0,fake
241.jpg,0,fake
242.jpg,1,real
243.jpg,1,real
244.jpg,1,real
245.jpg,1,real
246.jpg,1,real
247.jpg,1,real
248.jpg,0,fake
249.jpg,0,fake
25.jpg,1,real
250.jpg,0,fake
251.jpg,1,real
252.jpg,0,fake
253.jpg,0,fake
254.jpg,1,real
255.jpg,1,real
256.jpg,0,fake
257.jpg,1,real
258.jpg,1,real
259.jpg,1,real
26.jpg,1,real
260.jpg,1,real
261.jpg,1,real
262.jpg,0,fake
263.jpg,1,real
264.jpg,0,fake
265.jpg,1,real
266.jpg,0,fake
267.jpg,0,fake
268.jpg,1,real
269.jpg,1,real
27.jpg,1,real
270.jpg,0,fake
271.jpg,0,fake
272.jpg,1,real
273.jpg,1,real
274.jpg,0,fake
275.jpg,1,real
276.jpg,1,real
277.jpg,1,real
278.jpg,0,fake
279.jpg,0,fake
28.jpg,1,real
280.jpg,1,real
281.jpg,1,real
282.jpg,1,real
283.jpg,1,real
284.jpg,0,fake
285.jpg,0,fake
286.jpg,0,fake
287.jpg,0,fake
288.jpg,0,fake
289.jpg,0,fake
29.jpg,1,real
290.jpg,1,real
291.jpg,0,fake
292.jpg,1,real
293.jpg,0,fake
294.jpg,1,real
295.jpg,1,real
296.jpg,0,fake
297.jpg,1,real
298.jpg,0,fake
299.jpg,1,real
3.jpg,1,real
30.jpg,0,fake
300.jpg,0,fake
301.jpg,1,real
302.jpg,0,fake
303.jpg,1,real
304.jpg,1,real
305.jpg,1,real
306.jpg,0,fake
307.jpg,1,real
308.jpg,0,fake
309.jpg,0,fake
31.jpg,1,real
310.jpg,0,fake
311.jpg,0,fake
312.jpg,1,real
313.jpg,1,real
314.jpg,1,real
315.jpg,0,fake
316.jpg,0,fake
317.jpg,0,fake
318.jpg,0,fake
319.jpg,0,fake
32.jpg,1,real
320.jpg,1,real
321.jpg,0,fake
322.jpg,1,real
323.jpg,0,fake
324.jpg,0,fake
325.jpg,1,real
326.jpg,0,fake
327.jpg,1,real
328.jpg,1,real
329.jpg,1,real
33.jpg,1,real
330.jpg,0,fake
331.jpg,1,real
332.jpg,0,fake
333.jpg,0,fake
334.jpg,0,fake
335.jpg,0,fake
336.jpg,1,real
337.jpg,1,real
338.jpg,1,real
339.jpg,0,fake
34.jpg,1,real
340.jpg,0,fake
341.jpg,1,real
342.jpg,0,fake
343.jpg,1,real
344.jpg,0,fake
345.jpg,1,real
346.jpg,1,real
347.jpg,0,fake
348.jpg,1,real
349.jpg,1,real
35.jpg,1,real
350.jpg,1,real
351.jpg,0,fake
352.jpg,0,fake
353.jpg,1,real
354.jpg,1,real
355.jpg,1,real
356.jpg,1,real
357.jpg,1,real
358.jpg,0,fake
359.jpg,0,fake
36.jpg,0,fake
360.jpg,1,real
361.jpg,1,real
362.jpg,1,real
363.jpg,0,fake
364.jpg,1,real
365.jpg,1,real
366.jpg,1,real
367.jpg,1,real
368.jpg,0,fake
369.jpg,0,fake
37.jpg,0,fake
370.jpg,1,real
371.jpg,0,fake
372.jpg,0,fake
373.jpg,1,real
374.jpg,1,real
375.jpg,1,real
376.jpg,1,real
377.jpg,0,fake
378.jpg,0,fake
379.jpg,1,real
38.jpg,1,real
380.jpg,1,real
381.jpg,1,real
382.jpg,1,real
383.jpg,0,fake
384.jpg,0,fake
385.jpg,0,fake
386.jpg,1,real
387.jpg,0,fake
388.jpg,1,real
389.jpg,0,fake
39.jpg,0,fake
390.jpg,1,real
391.jpg,1,real
392.jpg,1,real
393.jpg,1,real
394.jpg,1,real
395.jpg,0,fake
396.jpg,0,fake
397.jpg,1,real
398.jpg,0,fake
399.jpg,1,real
4.jpg,1,real
40.jpg,0,fake
400.jpg,1,real
401.jpg,1,real
402.jpg,1,real
403.jpg,1,real
404.jpg,0,fake
405.jpg,1,real
406.jpg,1,real
407.jpg,1,real
408.jpg,1,real
409.jpg,1,real
41.jpg,0,fake
410.jpg,1,real
411.jpg,1,real
412.jpg,0,fake
413.jpg,1,real
414.jpg,0,fake
415.jpg,0,fake
416.jpg,1,real
417.jpg,0,fake
418.jpg,0,fake
419.jpg,0,fake
42.jpg,1,real
420.jpg,1,real
421.jpg,1,real
422.jpg,1,real
423.jpg,0,fake
424.jpg,0,fake
425.jpg,1,real
426.jpg,0,fake
427.jpg,1,real
428.jpg,1,real
429.jpg,1,real
43.jpg,0,fake
430.jpg,1,real
431.jpg,1,real
432.jpg,1,real
433.jpg,0,fake
434.jpg,0,fake
435.jpg,0,fake
436.jpg,1,real
437.jpg,1,real
438.jpg,1,real
439.jpg,0,fake
44.jpg,0,fake
440.jpg,1,real
441.jpg,0,fake
442.jpg,1,real
443.jpg,1,real
444.jpg,1,real
445.jpg,0,fake
446.jpg,1,real
447.jpg,1,real
448.jpg,0,fake
449.jpg,1,real
45.jpg,1,real
450.jpg,0,fake
451.jpg,0,fake
452.jpg,1,real
453.jpg,1,real
454.jpg,0,fake
455.jpg,1,real
456.jpg,1,real
457.jpg,1,real
458.jpg,0,fake
459.jpg,0,fake
46.jpg,0,fake
460.jpg,0,fake
461.jpg,0,fake
462.jpg,1,real
463.jpg,1,real
464.jpg,1,real
465.jpg,1,real
466.jpg,0,fake
467.jpg,1,real
468.jpg,0,fake
469.jpg,1,real
47.jpg,1,real
470.jpg,1,real
471.jpg,0,fake
472.jpg,0,fake
473.jpg,1,real
474.jpg,1,real
475.jpg,0,fake
476.jpg,1,real
477.jpg,0,fake
478.jpg,0,fake
479.jpg,0,fake
48.jpg,0,fake
480.jpg,1,real
481.jpg,0,fake
482.jpg,0,fake
483.jpg,1,real
484.jpg,1,real
485.jpg,1,real
486.jpg,1,real
487.jpg,0,fake
488.jpg,1,real
489.jpg,0,fake
49.jpg,1,real
490.jpg,0,fake
491.jpg,1,real
492.jpg,0,fake
493.jpg,1,real
494.jpg,1,real
495.jpg,1,real
496.jpg,0,fake
497.jpg,1,real
498.jpg,1,real
499.jpg,1,real
5.jpg,1,real
50.jpg,1,real
500.jpg,1,real
501.jpg,0,fake
502.jpg,1,real
503.jpg,1,real
504.jpg,0,fake
505.jpg,0,fake
506.jpg,0,fake
507.jpg,0,fake
508.jpg,0,fake
509.jpg,1,real
51.jpg,1,real
510.jpg,0,fake
511.jpg,0,fake
512.jpg,1,real
513.jpg,0,fake
514.jpg,0,fake
515.jpg,0,fake
516.jpg,0,fake
517.jpg,0,fake
518.jpg,0,fake
519.jpg,1,real
52.jpg,0,fake
520.jpg,1,real
521.jpg,1,real
522.jpg,1,real
523.jpg,0,fake
524.jpg,1,real
525.jpg,1,real
526.jpg,0,fake
527.jpg,0,fake
528.jpg,1,real
529.jpg,1,real
53.jpg,0,fake
530.jpg,1,real
531.jpg,0,fake
532.jpg,1,real
533.jpg,1,real
534.jpg,1,real
535.jpg,0,fake
536.jpg,1,real
537.jpg,0,fake
538.jpg,0,fake
539.jpg,0,fake
54.jpg,1,real
540.jpg,0,fake
541.jpg,1,real
542.jpg,0,fake
543.jpg,1,real
544.jpg,1,real
545.jpg,0,fake
546.jpg,1,real
547.jpg,1,real
548.jpg,1,real
549.jpg,0,fake
55.jpg,0,fake
550.jpg,0,fake
551.jpg,1,real
552.jpg,1,real
553.jpg,1,real
554.jpg,1,real
555.jpg,0,fake
556.jpg,0,fake
557.jpg,1,real
558.jpg,0,fake
559.jpg,0,fake
56.jpg,1,real
560.jpg,1,real
561.jpg,0,fake
562.jpg,1,real
563.jpg,0,fake
564.jpg,0,fake
565.jpg,1,real
566.jpg,0,fake
567.jpg,0,fake
568.jpg,1,real
569.jpg,1,real
57.jpg,0,fake
570.jpg,1,real
571.jpg,1,real
572.jpg,1,real
573.jpg,1,real
574.jpg,1,real
575.jpg,1,real
576.jpg,0,fake
577.jpg,0,fake
578.jpg,0,fake
579.jpg,1,real
58.jpg,1,real
580.jpg,1,real
581.jpg,0,fake
582.jpg,1,real
583.jpg,0,fake
584.jpg,0,fake
585.jpg,1,real
586.jpg,0,fake
587.jpg,1,real
588.jpg,1,real
589.jpg,1,real
59.jpg,0,fake
